,comment_date,user_reviews,recommended or not,spent_hours,hold_products
0,November 27,"['So, after playing this game for 300+ hours i can say that the game itself its stil kinda interesting and fun BUT: First, i have played this game for a long time and quit then i came back 6 months later and i can say this: game is still extremely bugy, servers still lag as hell, loot still spawns few seconds later after you drop, and you need to run back for the item that may save your life, hackers, overall movment is still kinda shity , jumping over walls, stucking on something random, loot on Erangel and Miramal is still bad, and instead focusing on only thing that is fun in this game and thats shooting, im runnning building to building like Enzo Ferrari in hope to find gun to defend myself, no i dont need attachments i just need a gun to defend myself, overall feel of progression is bad, simple quests, ?????????????????? rewards not worth going for, only thing that i noticed that im maybe geting 5-10 fps more but thats discussable. All those things are tolerable only when playing with friends. Playing this solo for me and going through all things mentioned above feels unenjoyable and frustrating. There are games that just do things better than this.']",Not Recommended,372.7,77
1,November 27,"[""It's been 1500 hours almost and still I come back. This game is like a relationship with a crazy person. They ???????????? like a pornstar, but they ignore everything you want. Yet there you are week after week plowing away because trying to find something else is not just more work, it's doesn't seem to have the gratification that PUBG can have. Sure it's not always gratifying. Sometimes it's downright abusive. But when it is good, it is so much better than anything else. Sure you could find that safe, sane game that will treat you the way you want to be treated. And who knows it might even work out. But a part of you will always yearn for the feeling that PUBG gives you. You will yearn for that feeling and eventually you'll be back for it. Because we both know you can't get it anywhere else. And Bluehole knows that too.""]",Recommended,"1,540.50",147
2,December 4,['full of cheaters'],Not Recommended,207,29
3,December 1,['Are you ????????????ing kidding me. $5 for a nickname change!!!???? Get the ???????????? out of here.'],Not Recommended,84,19
4,December 2,['The only way to fix this crap game is by using a new engine and rework the entire game from 0'],Not Recommended,223.5,34
5,November 30,"[""A fun game that's ruined by bugs and ?????????????????? developers.""]",Not Recommended,117.8,40
6,November 28,"['so bad game, full of bugs']",Not Recommended,181.9,17
7,December 2,"[""very very bad server and We can't play by high ping . pubg just give your money and don't upgrade server . pubg will loss player and most player chooce other game !"", '', '#good_lcuk_pubg']",Not Recommended,295.4,38
8,December 2,['trash game'],Not Recommended,252.6,4
9,December 5,"['Had a lot of fun in this game, yet I have to give it a thumbs-down. Too many cheaters in this game, simply put. It makes it not fun and not rewarding to spend my time on this']",Not Recommended,103.1,223
10,December 5,"['Had a lot of fun in this game, yet I have to give it a thumbs-down. Too many cheaters in this game, simply put. It makes it not fun and not rewarding to spend my time on this']",Not Recommended,103.1,223
11,November 27,['this game has tons of hackers.'],Not Recommended,517,24
12,November 30,['Get it if you have friends to play with.'],Recommended,162.7,29
13,November 30,['Best to play with friends.'],Recommended,596.3,31
14,November 30,['Toxic players'],Recommended,348.1,9
15,November 30,['i got ban but i dont hacked wtf?!?!?!'],Recommended,476.8,13
16,November 29,"['Love this game, but its hard haha']",Recommended,7.2,2
17,November 28,['emme love'],Recommended,444.2,4
18,December 1,['GOOD'],Recommended,322.6,2
19,November 30,['Trust me u dont want to waste ur money on this??????????????????full with hackers and scripters and litterly maps socks no weapons full with ????????????ing small guns go play pubg mobile its free and kinda better BUT WAIT THAT ALSO HAVE HACKERS NOW GG TRASH COMPANY'],Not Recommended,535.7,13
20,December 2,['good but Tpp got so much hackers'],Recommended,"1,154.70",5
21,December 3,"['OVERRATED GAME, YOU NEED EXPENSIVE ??????????????? ON YOUR PC TO ENJOY RANDOM MATCHES']",Not Recommended,16.7,17
22,November 29,"['Love this game, but its hard haha']",Recommended,7.2,2
23,November 28,['emme love'],Recommended,444.2,4
24,December 1,['GOOD'],Recommended,322.6,2
25,November 28,['very good game'],Recommended,39.6,8
26,November 28,['Badass.'],Recommended,621.8,5
27,November 29,"['A fun game if played with friends, when solo, it just gets boring quickly.']",Recommended,226.2,174
28,December 2,"['I keep coming back to try this game, and I keep running into hackers and exploits. The addition of the Death Cam helps confirm the unusual activity leading up to my death. Nevertheless, it seems more a game of cheat-vs-cheat than any actual skill. Worst memory was when my 4-man team nearly had the win, but the remaining player insta-killed all 4 of us in a fraction of a second with ""snap"" headshots.']",Not Recommended,79.5,72
29,December 2,"[""Don't waste you're money or time with this game or any PC game until all cheaters drop dead! You are low lifes in society specially a gamer by the name of 1st SFO H you are very lucky I have no clue where you live punk!. 90% of you are cheaters on PUGB! Go play barbies you scrubs. This game I caught and have screen shot of this loser running name tag hack only way this loser could kill people. No wonder you losers know where everyone is go play GTA V u losers. Player locations are wide open over there. PUGB is also very bad for auto aim. How do you get you're damn money back for a game only cheaters run? All you losers in PUGB grow the fk up and learn to be a real gamer you wanna be's!""]",Not Recommended,5,90
30,November 28,['Best battle royale yet'],Recommended,"1,020.10",17
31,November 30,"[""Game's slowly dying""]",Not Recommended,622.1,2
32,November 27,['Good game'],Recommended,"2,049.60",7
33,November 27,"['why the hell is there always errors and buzy servers,this case always happens almost everyday !']",Recommended,410.3,1
34,November 28,['nice'],Recommended,142.1,6
35,November 30,['As of 11/30/2018 this game is still garbage... so take that as you will.'],Not Recommended,519,36
36,November 29,['Best Game Ever'],Recommended,29.5,10
37,December 2,"['I keep coming back to try this game, and I keep running into hackers and exploits. The addition of the Death Cam helps confirm the unusual activity leading up to my death. Nevertheless, it seems more a game of cheat-vs-cheat than any actual skill. Worst memory was when my 4-man team nearly had the win, but the remaining player insta-killed all 4 of us in a fraction of a second with ""snap"" headshots.']",Not Recommended,79.5,72
38,December 5,['I used to really enjoy playing this game. It did start with a lot of glitches and it took a very long time to fix them but it was overall positive?€?.until the developers decided to turn off the Oceania server without explanation. I find this a very greedy act. The game has become unplayable with a ping over 200 (used to be 20). I highly recommend anyone in Australia does not buy this game.'],Not Recommended,839.2,23
39,December 5,"['if you live in middle east you have to play in the asia servers with 200 ping and 5%loss pocket beacuse you cant change your server', '2/10 times loading screen will crash', 'worst opt for a pc game and i do not think they can fix it', 'this game is trash just dont buy it until they fix the game instead of adding more cosmetics for more money']",Not Recommended,103,5
40,November 29,['Best Game Ever'],Recommended,29.5,10
41,December 2,['Subscribe to PewDiePie unsubscribe to T series!'],Recommended,346.7,101
42,November 28,['This game is better with friends.'],Recommended,81.7,5
43,November 27,['TSIFSA'],Recommended,"1,360.70",10
44,November 29,"['???????????? no donot buy this game they still did not fix the game and they bring new skins and charge u for NAME CHANGE', 'i dont support microtransactions DONT WASTE UR MONEY']",Not Recommended,12.4,35
45,November 28,['genuine garbage'],Not Recommended,301.5,271
46,November 29,"['Prepare for 2 FPS when you get into a gun fight, even though you have low settings on an 8GB card.']",Not Recommended,102.9,32
47,November 30,['12313'],Recommended,840.3,43
48,November 30,['nice..'],Recommended,501.7,77
49,December 1,"['PUBG was an interesting distillation of the survival games that preceded it. Once the clones started to appear, the slower pace and tension still made it more appealing to me than, for example, Fortnite.', '', 'After a bumpy but entertaining start, I decided to wait for better performance and quality of life improvements to arrive. But early November I tried returning to the game, and its anti-cheat solution just complains about every single process running on my machine, including Windows drivers.', '', 'The game is now rendered unplayable for me, and I simply cannot recommend it on the hope that it might work for someone else.']",Not Recommended,60.6,351
50,November 30,['My best and most favorite game! Nothing to say other than how amazingly fun and amusing this game is!'],Recommended,244.3,10
51,December 1,"['Crashes randomly, screws up fan controller software causing overheating.']",Not Recommended,114.4,72
52,December 1,['early access was so good now it sux'],Not Recommended,260.8,21
53,November 30,['trash trash trash.'],Not Recommended,661,4
54,November 30,['12313'],Recommended,840.3,43
55,November 29,"['Prepare for 2 FPS when you get into a gun fight, even though you have low settings on an 8GB card.']",Not Recommended,102.9,32
56,November 28,['.'],Recommended,309.9,33
57,November 28,['genuine garbage'],Not Recommended,301.5,271
58,November 28,['traaaash'],Not Recommended,26.4,57
59,November 28,"['????????????ING IDIOT GAME, GO ???????????? YOURSELF']",Not Recommended,605.8,25
60,December 4,['Could be the best game but its???????????????'],Not Recommended,"1,921.20",19
61,December 3,"[""This game is fun and I will buy it anytime, but I recommend you play with friends. Because I don't like playing solo in THIS game.""]",Recommended,182.1,114
62,December 1,"['The blue zone is still way to fast (fixed in competative, but not for 99 % of players) and the redzone is still in the game (again, removed in competative play) very very loud, annoying, and does NOT serve a purpose. Doesnt feel smooth, you can crush some fences, but others if layed sideways, are invincible and your car will not destroy them, annoying. Lots of small, annoying things, vehicle physics are bad, cars feel like bouncing balls, small bump and you flip like 3 times. 3 maps, only 1is good, the original - latest map got no windows, so you can just creep on people who cant hear you, think the sound is poor. other second map is 2 big, and way to little vechile spawns. etcetcetc. i can complain for days, i hate the game.']",Not Recommended,665.6,38
63,November 28,['Good game'],Recommended,28.2,3
64,November 28,['Great Game!'],Recommended,194.8,6
65,December 1,['Every server is Chinese now...'],Not Recommended,481.9,75
66,December 1,"['its buggy and overhyped', 'the microtransactions are expensive af. 24$ to look like harley quinn? yeah alright, sure.']",Not Recommended,200.2,66
67,December 1,"['how can it be that hard to leave a game when u are still inside this trash ????????????ing game inprove my ????????????ing???????????????', 'last time im playing this trash']",Not Recommended,"1,068.20",20
68,December 1,"[""It's ????""]",Not Recommended,21.5,17
69,December 1,['developers do not care about there game and are letting it fail.'],Not Recommended,714.2,63
70,December 1,['best game4ervar'],Recommended,99.8,5
71,November 30,['nice..'],Recommended,501.7,77
72,November 30,"['Product received for free', '', 'this is the worst game... i cant even open it!!!!!!!!!!!']",Not Recommended,0.2,2
73,November 30,['when it was in beta it felt like I was playing a video game but now I can turn my setting all on very low and I only get 5 fps max.'],Not Recommended,64.4,18
74,November 29,"[""POS game now. They supposedly did something to fix the amount of hacking that goes on, but it's actually just worse. Lag spikes because servers are bad. Servers always down for maintenance but nothing gets fixed.""]",Not Recommended,266.3,20
75,November 30,['trash trash trash.'],Not Recommended,661,4
76,November 30,['12313'],Recommended,840.3,43
77,December 1,['early access was so good now it sux'],Not Recommended,260.8,21
78,December 1,"['Crashes randomly, screws up fan controller software causing overheating.']",Not Recommended,114.4,72
79,December 1,['wait so i paided 30 dolllers for this and it anit fortnite wait what????????????????????????dimension am i in i thoought fortnite was 30 dollers am i still gay tho let me check alrritght i back and i just suck some men and dont woryy i like big peenris still so we still good over here my boy o yeah and pubg klina cool i guess'],Recommended,23.8,68
80,November 27,"['This game gets boring quite quickly, community sucks pp and it is Battle royale so 0/10']",Not Recommended,154.1,72
81,December 3,['game sucks to many hackers'],Not Recommended,346.1,39
82,December 3,['the embodiment of a turd'],Not Recommended,389.9,52
83,December 1,['Stucked on loading screen'],Not Recommended,0.4,50
84,December 2,['They prioritized the wrong things.'],Not Recommended,147.4,280
85,December 4,['???????????????game'],Not Recommended,238.6,60
86,December 4,['No! Please. No!'],Not Recommended,42.5,9
87,December 2,"['This company just permanently lost another dedicated player for getting permanently banned for absolutely no reason. I asked the support and they only told me that i violated their term.', '', ""I'm definitely not going to buy this game again AND any other game this company regurgitates.""]",Not Recommended,17.4,53
88,December 1,"['The blue zone is still way to fast (fixed in competative, but not for 99 % of players) and the redzone is still in the game (again, removed in competative play) very very loud, annoying, and does NOT serve a purpose. Doesnt feel smooth, you can crush some fences, but others if layed sideways, are invincible and your car will not destroy them, annoying. Lots of small, annoying things, vehicle physics are bad, cars feel like bouncing balls, small bump and you flip like 3 times. 3 maps, only 1is good, the original - latest map got no windows, so you can just creep on people who cant hear you, think the sound is poor. other second map is 2 big, and way to little vechile spawns. etcetcetc. i can complain for days, i hate the game.']",Not Recommended,665.6,38
89,December 4,"[""I just wanna start how this game is pretty awesome in gameplay, the concept and as a shooter game. However, there is a huge technical flaws that is currently present in game. By technical, I mean, server-lags, performance issues, bad optimization and awful synchronization. PlayerUnknown's Battlegrounds suffers server-lags that almost often lags you on some point due to I don't know? Bad servers I guess or congested servers. Next, performance issues that even a high end PC is struggling to maintain stability on running the game (massive frame drops, stutters, noticeable system unit heating even running on Very Low Settings). Bad optimization is the same I think on performance issues. This game is like a Pizza rushed out of the oven too early, without cheese just to sell it right away. It is optimized badly for Windows platform and I'm too skeptical on its performance for the PS4 system when it launches. Awful synchronization is a sub problem of server-lags and performance issues. The synchronization between your client and other clients is noticeable to the extent that the server doesn't register your complete hits even if you shoot first. Some times the characters would just teleport a few centimeters away from your crosshair and teleports back due to bad synchronization. Overall, this game is great if we are going to look at it as it is. But, digging deeper to a technical level -- it needs a huge refinement.""]",Not Recommended,53,3
90,December 1,"['its buggy and overhyped', 'the microtransactions are expensive af. 24$ to look like harley quinn? yeah alright, sure.']",Not Recommended,200.2,66
91,December 1,"['how can it be that hard to leave a game when u are still inside this trash ????????????ing game inprove my ????????????ing???????????????', 'last time im playing this trash']",Not Recommended,"1,068.20",20
92,December 1,"[""It's ????""]",Not Recommended,21.5,17
93,December 1,['developers do not care about there game and are letting it fail.'],Not Recommended,714.2,63
94,December 2,"[""It's a love hate relationship with this game""]",Recommended,346.5,11
95,December 1,"[""My friend got banned for 100% no reason. Tons and tons of frustrating bugs abound, with new ones every patch. You would think that if they literally just created a bug with a recent patch that it would be easy to figure out what caused it and fix it with the next one, but no - it really feels like everything about this game is handled with incompetence. I also don't have a ton of time to play this game due to work, but when I do set aside time some evenings, there's a decent chance the servers are down for maintainence or patching - but they can't apply patches when everyone is asleep at 4am because why? They sold millions of copies of this game and continously cash grab with skins but can't pay an extra dude so they can update their US and Korean servers at separate times? Just about every aspect of this game induces frustration and thats why the player base continues to dwindle.""]",Not Recommended,820.9,115
96,December 1,['wait so i paided 30 dolllers for this and it anit fortnite wait what????????????????????????dimension am i in i thoought fortnite was 30 dollers am i still gay tho let me check alrritght i back and i just suck some men and dont woryy i like big peenris still so we still good over here my boy o yeah and pubg klina cool i guess'],Recommended,23.8,68
97,December 2,"[""I've had this game since beta and unfortunately the stability of the game has barely improved since then. Rather than focusing on improving the game so their players can actually play the game, the developer decided to introduce loot crates and develop a mobile-port."", '', 'Yes, with a good group of friends you can have fun walking through the desert for 20 minutes, but 90% of the time I played with my group of 4 friends, 1 of us would crash on load. You are better off buying an actual good game that actually runs rather than wasting your money on this ?????????????????? asset flip.']",Not Recommended,172.5,265
98,December 2,"[""LOVED this game. Disappointment after disappointment over the past year and I've finally given up. These developers are hot garbage and you deserve what happened to this game. It had the seeds of excellence and you watered it with bleach."", '', ""Literally every Chinese player you come across is running some sort of aimbot script. And because they removed the abililty to pick regions not infested with Chinese hackers, you can't avoid them."", '', 'Either region lock the Chinese to their own hellhole or bring back region select.']",Not Recommended,194.2,13
99,December 2,"[""Having played this game for a few hours or so..... I've learned one thing.... its full of people who so some reason or another feel it's requirement to cheat to win. This game had the potential to be a fantastic game with all the mass amount funding its had towards it but its just failed to meet the mark...."", '', ""Oh and they've really got to work on the anti cheat system I'm coming across one on nearly every match we play, I fully understand there are skilled players out in the world but for someone to do a full 360 on the spot, find you and then headshot you all in a matter of seconds is just plan stupid""]",Not Recommended,"1,101.00",15
100,December 1,['Stucked on loading screen'],Not Recommended,0.4,50
101,December 2,['They prioritized the wrong things.'],Not Recommended,147.4,280
102,December 4,['???????????????game'],Not Recommended,238.6,60
103,December 4,['No! Please. No!'],Not Recommended,42.5,9
104,December 4,['Could be the best game but its???????????????'],Not Recommended,"1,921.20",19
105,December 4,"[""I just wanna start how this game is pretty awesome in gameplay, the concept and as a shooter game. However, there is a huge technical flaws that is currently present in game. By technical, I mean, server-lags, performance issues, bad optimization and awful synchronization. PlayerUnknown's Battlegrounds suffers server-lags that almost often lags you on some point due to I don't know? Bad servers I guess or congested servers. Next, performance issues that even a high end PC is struggling to maintain stability on running the game (massive frame drops, stutters, noticeable system unit heating even running on Very Low Settings). Bad optimization is the same I think on performance issues. This game is like a Pizza rushed out of the oven too early, without cheese just to sell it right away. It is optimized badly for Windows platform and I'm too skeptical on its performance for the PS4 system when it launches. Awful synchronization is a sub problem of server-lags and performance issues. The synchronization between your client and other clients is noticeable to the extent that the server doesn't register your complete hits even if you shoot first. Some times the characters would just teleport a few centimeters away from your crosshair and teleports back due to bad synchronization. Overall, this game is great if we are going to look at it as it is. But, digging deeper to a technical level -- it needs a huge refinement.""]",Not Recommended,53,3
106,November 27,"['This game gets boring quite quickly, community sucks pp and it is Battle royale so 0/10']",Not Recommended,154.1,72
107,December 3,['game sucks to many hackers'],Not Recommended,346.1,39
108,December 4,"[""I like this Battle Royale game even if the game still has some bugs. It's always fun playing and having a good time with your mates.""]",Recommended,"1,154.40",14
109,December 5,"['I love this game, but it CRASH and LAG so that make me MAD.']",Not Recommended,100.9,30
110,December 3,"['?€? Battle Royale', ""'PLAYERUNKNOWN'S BATTLEGROUNDS' ?? um jogo em formato 'Battle Royale' onde o objetivo ?? ??nico, ser o ??ltimo a sobreviver. Enquanto voc?? tenta sobreviver, voc?? ter?? que encontrar equipamentos, armamentos e objetos de cura para ajudar-te na batalha, que consecutivamente voc?? ter?? que matar para sobreviver. Explore o mapa gigantesco enquanto o g??s/raio faz a ??rea diminuir para juntar os jogadores sobreviventes em uma pequena ??rea para a batalha final. O jogo conta com v??rios ve??culos para ajudar na sua locomo????o, desde carros e barcos."", 'PUBG possui tamb??m o modo ""DUO"" e ""PARTY"".', '', 'Duo: Voc?? e mais um jogador far??o uma dupla para tentar sobreviver.', 'Party: Voc?? e mais tr??s jogadores far??o uma equipe para tentar sobreviver.', '', 'Al??m disso tudo, PUBG tamb??m possui o esquema de salas customizadas, tendo como jogar o modo ""Zumbi"" e um modo onde pode-se ter uma equipe de at?? oito jogadores.', '', 'O defeito maior do jogo ?? a renderiza????o e otimiza????o do mapa, ?? constate quando algu??m est?? jogando e se depara com as estruturas n??o estando carregadas, isso para alguns, pode ser que seu inimigo que caiu perto de voc?? j?? tenha o local carregado e pegue uma arma e te mate, n??o dando chance para voc??.', 'Notas', 'Gr??ficos: 3/5', 'Mapa: 3/5', 'Jogabilidade: 4/5']",Recommended,290.2,105
111,December 5,"['-Crappy hitbox', ""-Cheaters everywhere (SOME OF US DOESN'T WANT THE CHINESE PLAYERS ACTUALLY GETTING REGION LOCKED OR ACTUALLY BANNED FROM PLAYING THIS GAME, BUT PLEASE. LISTEN TO US. GIVE CHINESE PLAYERS SANDBOXED SERVER)"", '-Microtransaction content first, technical problems later (EVEN EA FIXED BATTLEFRONT II 2017 RIGHT NOW BY FOCUSING TECHNICAL PROBLEMS AFTER LOOTBOX FIASCO AND THEN THEY RELEASED FREE EXPANSION CONTENT THAT THEY WERE PROMISED ON E3 LONG TIME AGO AFTER THEY FIXED TECHNICAL PROBLEMS. AND THIS MOVE WAS FROM THE MOST HATED COMPANY IN GAMING INDUSTRY)', '', ""The point is, I'm done with bluehole development team. And I regret to bought and played this game for more than 30 hours, If you want polished battle royale experience with PUBG vibe on it just download Black Ops 4, PUBGM, or Ring of Elysium. Bye.""]",Not Recommended,34.6,393
112,December 2,['They prioritized the wrong things.'],Not Recommended,147.4,280
113,December 4,['???????????????game'],Not Recommended,238.6,60
114,December 4,['No! Please. No!'],Not Recommended,42.5,9
